ID,Station (ft),Velocity 'Max' (feet/sec)
1108,764.645,10.981
1109,765.52,11.328
1110,766.391,11.774
1111,767.259,12.102
1112,768.127,12.096
1113,768.203,12.07
1114,769,11.727
1115,769.436,11.58
1116,769.872,11.42
1117,770.732,11.121
1118,771.577,10.89
1119,771.954,10.825
1120,772.423,10.745
1121,773.298,10.602
1122,774.207,10.458
1123,774.369,10.433
1124,775.137,10.33
1125,776.07,10.227
1126,776.531,10.184
1127,776.991,10.196
1128,777.44,10.156
1129,777.889,10.166
1130,778.325,10.191
1131,778.761,10.227
1132,778.963,10.239
1133,779.615,10.247
1134,780.459,10.26
1135,781.295,10.276
1136,781.564,10.284
1137,781.816,10.294
1138,782.127,10.309
1139,782.963,10.37
1140,783.438,10.406
1141,783.584,10.419
1142,783.649,10.425
1143,783.806,10.441
1144,784.659,10.527
1145,785.51,10.576
1146,786.342,10.519
1147,786.377,10.512
1148,787.143,10.267
1149,787.915,10.03
1150,788.667,9.826
1151,789.414,9.702
1152,790.167,9.69
1153,790.937,9.71
1154,791.731,9.765
1155,792.353,9.828
1156,792.533,9.807
1157,793.321,9.725
1158,794.095,9.656
1159,794.878,9.799
1160,795.693,10.002
1161,796.062,10.096
1162,796.542,10.143
1163,797.424,10.189
1164,798.331,10.193
1165,799.236,10.184
1166,800.111,10.219
1167,800.953,10.341
1168,801.77,10.555
1169,802.578,10.832
1170,803.383,11.159
1171,804.188,11.527
1172,804.313,11.589
1173,804.994,11.972
1174,805.804,12.411
1175,806.621,12.126
1176,807.134,11.969
1177,807.444,11.882
1178,808.263,11.684
1179,809.073,11.549
1180,809.474,11.508
1181,809.874,11.461
1182,810.67,11.383
1183,811.46,11.5
1184,812.243,11.814
1185,812.637,12.031
1186,813.031,12.224
1187,813.435,12.442
1188,813.839,12.652
1189,814.258,12.845
1190,814.626,12.92
1191,814.676,12.922
1192,815.537,12.668
1193,815.973,12.447
1194,816.41,12.212
1195,817.284,11.738
1196,818.149,11.299
1197,818.979,11.029
1198,819.741,10.908
1199,820.435,10.812
1200,821.108,10.743
1201,821.82,10.676
1202,822.388,10.624
1203,822.581,10.602
1204,823.371,10.514
1205,824.175,10.419
1206,824.987,10.305
1207,825.593,10.196
1208,825.803,10.149
1209,826.616,9.995
1210,827.424,9.89
1211,828.238,9.829
1212,828.29,9.827
1213,829.07,9.784
1214,829.928,9.762
1215,830.808,9.753
1216,831.69,9.74
1217,832.557,9.737
1218,833.207,9.744
1219,833.399,9.742
1220,834.217,9.728
1221,835.007,9.725
